scenario,agent,experiment_index,score
calls_kaiserslautern_simplecase.json,agent_nearest.py,0,11.0
calls_kaiserslautern_simplecase.json,agent_nearest_int_reloc.py,0,6.0
calls_kaiserslautern_simplecase.json,agent_random.py,0,27.0
